company_name,description,sector,stage,geography,traction,founder_background,referral_source
DataAI,None improve today color economic coach.,Enterprise AI,Seed,Germany,20 enterprise pilots,AI researcher from Cambridge,Warm intro
CloudOps,Fact also song major skin choose six guy process learn.,HealthTech B2B,Series B,UK,£30k MRR,Ex-Stripe engineer,Partner referral
FlowForge,Test environment source fly material organization.,HealthTech B2B,Pre-seed,Spain,20 enterprise pilots,AI researcher from Cambridge,Event
LogicWorks,Police record to until song within senior reason rest trouble.,LegalTech,Series A,Canada,£30k MRR,Former SAP product lead,Cold inbound
PayPilot,Agent as health decision camera apply picture light office will main through interest.,Climate SaaS,Seed,Canada,12 customers,Ex-Stripe engineer,Warm intro
LogicOps,Fund idea can make town film fine song.,Developer Tools,Series A,Spain,12 customers,Ex-Stripe engineer,Cold inbound
CloudOps,Could manage thank now road measure.,HR Tech,Pre-seed,Spain,12 customers,AI researcher from Cambridge,Event
PayIQ,Nor ground drive machine control new worry senior.,Cybersecurity,Pre-seed,UK,20 enterprise pilots,Ex-Google engineer,Warm intro
FlowOps,Know until face management evidence us or.,HR Tech,Series A,Netherlands,12 customers,Former SAP product lead,Website
PayWorks,Owner main matter pick none many goal.,Enterprise AI,Pre-seed,Spain,20 enterprise pilots,Repeat founder,Partner referral
CarbonCloud,And win loss food lose all here set.,HR Tech,Series A,US,20 enterprise pilots,AI researcher from Cambridge,Website
FinWorks,Dark note force reason son special significant writer meeting change.,B2B SaaS,Series A,Netherlands,12 customers,Ex-Stripe engineer,Partner referral
CoreStack,For call billion nearly southern station.,Cybersecurity,Series B,Netherlands,Growing ARR,Former SAP product lead,Website
CarbonWorks,Particularly care bring wall little hit energy white talk reason sign price.,Supply Chain SaaS,Series A,US,Growing ARR,Repeat founder,Cold inbound
PayWorks,Store professional page development notice civil.,Climate SaaS,Series B,UK,£30k MRR,Ex-Stripe engineer,Partner referral
CarbonLabs,Each heavy third cell something miss evidence.,HealthTech B2B,Pre-seed,Netherlands,Growing ARR,Repeat founder,Cold inbound
CloudPilot,Figure the approach central she style maintain campaign herself despite.,Supply Chain SaaS,Pre-seed,US,£30k MRR,AI researcher from Cambridge,Event
GridStack,Against interview indeed old available operation pick writer collection husband billion.,FinTech SaaS,Series A,Netherlands,20 enterprise pilots,Former McKinsey consultant,Warm intro
GridForge,High mean single fight room employee.,Climate SaaS,Pre-seed,Canada,12 customers,AI researcher from Cambridge,Event
CoreWorks,Necessary fly threat government really however heart production professional character special within draw.,Climate SaaS,Series A,Canada,20 enterprise pilots,Repeat founder,Event
FinIQ,Check able foot tough agent technology yes.,Developer Tools,Series B,UK,£30k MRR,Ex-Google engineer,Website
FlowAI,Issue he senior capital seek better or think follow manage research mouth.,Cybersecurity,Pre-seed,UK,Growing ARR,Ex-Stripe engineer,Event
CarbonBridge,Every into himself agreement girl exist dinner.,LegalTech,Seed,France,Growing ARR,Former SAP product lead,Event
FlowPilot,Image else model themselves seven stay maybe probably yet.,HR Tech,Series A,Netherlands,Growing ARR,Ex-Stripe engineer,Partner referral
FlowOps,Relationship new produce before call tend room floor approach author somebody section.,Developer Tools,Pre-seed,Spain,20 enterprise pilots,Repeat founder,Partner referral
FinOps,Affect add stay step work team while lose star whatever over act work.,B2B SaaS,Seed,UK,£30k MRR,Ex-Google engineer,Warm intro
CloudWorks,Anyone Mr after responsibility capital smile ability.,Enterprise AI,Series B,Germany,20 enterprise pilots,AI researcher from Cambridge,Event
CoreCloud,Art movie food hair reach suddenly including beautiful.,Cybersecurity,Series B,Canada,Growing ARR,Former SAP product lead,Warm intro
DataLabs,Production fine chance seem pretty just friend.,Developer Tools,Series B,Netherlands,Growing ARR,AI researcher from Cambridge,Warm intro
DataAI,Themselves start speech up light truth.,HR Tech,Series A,Canada,£30k MRR,Former SAP product lead,Partner referral
